package,project,gdb,layer,geometry_kind,reason
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Block_04_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Block_01_Spaces_Sort1_Sort,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Block_02_Spaces_Sort4,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Block_03_Spaces_Sort2,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Block_07_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Block_08_Spaces_Sort2,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Block_09_Spaces_Sort5,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Block_25_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Block_30_East_Spaces_Sort,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,PESHIndoor_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,PESHOutdoor_Spaces_Sort,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Prune_South_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Prune_North_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Railroad_North_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Railroad_South_Spaces_Sort2,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees12.gdb,Valley_North_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Prune_North_Backup_04_09_2026.ppkx,Prune North,Prune_North.gdb,Prune_North_Mother_Trees_ExportFeatures,polygon,filtered_helper_or_duplicate_layer
Prune_North_Backup_04_09_2026.ppkx,Prune North,sierra_gold_nurseries_trees.gdb,Prune_Tree_North_Spaces_PointsToLine3,line,filtered_helper_or_duplicate_layer
Railroad_South_Backup_04_09_2026.ppkx,Railroad South,Railroad_South.gdb,Railroad_South_Mother_Trees_ExportFeatures,polygon,filtered_helper_or_duplicate_layer
Railroad_South_Backup_04_09_2026.ppkx,Railroad South,sierra_gold_nurseries_trees.gdb,Railroad_South_Spaces_PointsToLine2,line,filtered_helper_or_duplicate_layer
Structures_Backup_12_29_2025_2.ppkx,Structures / Yards,Sierra_Gold_Nurseries_Structures.gdb,Sorting_Line_1,polygon,filtered_helper_or_duplicate_layer
Structures_Backup_12_29_2025_2.ppkx,Structures / Yards,Sierra_Gold_Nurseries_Structures.gdb,Sorting_Line_2,polygon,filtered_helper_or_duplicate_layer
Structures_Backup_12_29_2025_2.ppkx,Structures / Yards,Sierra_Gold_Nurseries_Structures.gdb,Sorting_Line_3,polygon,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,production_orchards_3.gdb,Points,point,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Coordinates_23_Space_XYTableToPoint,point,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Coordinates_25_Space_XYTableToPoint,point,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Coordinates_28_Space_XYTableToPoint,point,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Coordinates_Prune_North_Space_XYTableToPoint,point,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Coordinates_Prune_South_Space_XYTableToPoint,point,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Coordinates_23_Space_XYTableToPoint_PointsToLine,line,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Coordinates_25_Space_XYTableToPoint_PointsToLine,line,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Coordinates_28_Space_XYTableToPoint_PointsToLine,line,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Coordinates_Prune_North_Space_XYTableToPoint_PointsToLine,line,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Coordinates_Prune_South_Space_XYTableToPoint_PointsToLine,line,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,c23_Space_Buffer,polygon,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,c25_Space_Buffer,polygon,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,c25_Space_Buffer1,polygon,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,c28_Space_Buffer,polygon,filtered_helper_or_duplicate_layer
Trees_Backup_04_01_2026.ppkx,Trees,sierra_gold_nurseries_trees.gdb,Prune_North_Space_Buffer,polygon,filtered_helper_or_duplicate_layer
