source,container,layer,file,features,geometry,status
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Cold_Frame_08,034_Structures_Backup_12_29_2025_2_Cold_Frame_08.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Cold_Frame_09,035_Structures_Backup_12_29_2025_2_Cold_Frame_09.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Cold_Frame_10,036_Structures_Backup_12_29_2025_2_Cold_Frame_10.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Shop,037_Structures_Backup_12_29_2025_2_Shop.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Soil_Bunker,038_Structures_Backup_12_29_2025_2_Soil_Bunker.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Maintenance_Trailer_01,039_Structures_Backup_12_29_2025_2_Maintenance_Trailer_01.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Maintenance_Trailer_02,040_Structures_Backup_12_29_2025_2_Maintenance_Trailer_02.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Head_House_02,041_Structures_Backup_12_29_2025_2_Head_House_02.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Zone_07,042_Structures_Backup_12_29_2025_2_Zone_07.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Zone_08,043_Structures_Backup_12_29_2025_2_Zone_08.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Zone_09,044_Structures_Backup_12_29_2025_2_Zone_09.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Zone_06,045_Structures_Backup_12_29_2025_2_Zone_06.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Zone_05,046_Structures_Backup_12_29_2025_2_Zone_05.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Head_House_03,047_Structures_Backup_12_29_2025_2_Head_House_03.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Zone_10,048_Structures_Backup_12_29_2025_2_Zone_10.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Can_Yard_01_D,049_Structures_Backup_12_29_2025_2_Can_Yard_01_D.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Office,050_Structures_Backup_12_29_2025_2_Office.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Lab,051_Structures_Backup_12_29_2025_2_Lab.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Water_Treatment,052_Structures_Backup_12_29_2025_2_Water_Treatment.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Zone_02,053_Structures_Backup_12_29_2025_2_Zone_02.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Zone_04,054_Structures_Backup_12_29_2025_2_Zone_04.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Zone_03_Storage,055_Structures_Backup_12_29_2025_2_Zone_03_Storage.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Zone_01,056_Structures_Backup_12_29_2025_2_Zone_01.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Head_House_01,057_Structures_Backup_12_29_2025_2_Head_House_01.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Solar_Panels_01,058_Structures_Backup_12_29_2025_2_Solar_Panels_01.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Solar_Panels_02,059_Structures_Backup_12_29_2025_2_Solar_Panels_02.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Solar_Panels_03,060_Structures_Backup_12_29_2025_2_Solar_Panels_03.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Sorting_Line_1,061_Structures_Backup_12_29_2025_2_Sorting_Line_1.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Sorting_Line_2,062_Structures_Backup_12_29_2025_2_Sorting_Line_2.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Sorting_Line_3,063_Structures_Backup_12_29_2025_2_Sorting_Line_3.geojson,1,Polygon,ok
